CECOS,COMPROMISOS,SATISFACCION,PERSONAL,VOLVER A CONTRATAR,PRODUCTOS,SOPORTE_ADMON,SOPORTE_DIR,SOPORTE_TEC,CANTIDAD_OTROSI,NIT FINAL,RETORNADO,MULTIPLICADOR,RETORNADO_CATEGORIA,SERVICIO,OTRO_SIESCAT
1036,0,0,4,4,3.2,3.2,3.8,3.8,9,860037950,1,3.225330498,SI,GER,SI
1039,4.6,4,5,4,4,4.6,4.6,4.6,6,800195032,0,1.726298435,NO,INT,SI
1048,4,4,4,4,4,4,4,4,7,800209482,0,2.244527087,NO,INT,SI
1049,4,4,4,4,4,4,4,4,7,830085820,0,2.288666666,NO,INT,SI
1058,4,4,4,4,4,4,4,4,3,899999316,1,2.341134328,SI,INT,SI
1096,4,4,4,4,4,4,4,4,3,860503370,0,1.739889187,NO,INT,SI
1123,4.6,4,4,4,4,4.6,4.2,4,2,800194096,0,2.697331919,NO,INT,SI
1135,3.8,5,4.8,5,4.6,4.8,4.6,4.4,2,900222524,0,2.161320432,NO,INT,SI
1145,4.5,4,4.7,4.5,4.8,4.1,4.4,4.5,8,860012357,1,1.965403348,SI,GER,SI
1148,4.2,0,4.4,0,4,4.6,4.8,4.2,2,860037950,1,3.329336421,SI,GER,SI
1150,4,4,3.6,4,4.6,4.2,5,4.4,1,830018305,0,1.934934744,NO,GER,SI
1151,4.2,4,2.1,4.5,3.5,3.6,3.9,4.1,1,860038556,0,1.697305866,NO,INT,SI
1156,4.133333333,4,4.533333333,5,4.066666667,4.266666667,4.8,4.4,4,830003564,1,2.388058765,SI,INT,SI
1169,4,4,4,4,4,4,4,4,8,860513493,1,2.595046396,SI,INT,SI
1173,4.8,4,4.2,4,4.8,4.4,4.8,4.8,0,860006127,0,1.510667341,NO,GER,NO
1175,5,5,5,5,5,5,5,5,6,899999061,0,2.084229019,NO,INT,SI
1176,3.8,4,3.4,4,3.2,3.4,3.8,3.8,2,860002518,0,2.110269672,NO,INT,SI
1178,5,5,5,5,4,3,5,4.8,2,830021423,1,269.2741836,SI,GER,SI
1179,4,4,4,4,4,4,4,4,7,800200969,0,1.390886245,NO,INT,SI
1180,4,4,4,4,4,4,4,4,3,860066769,0,1.66853057,NO,INT,SI
1181,4.8,5,0,5,0,2.6,5,4.8,1,890317923,0,4.10234865,NO,GER,SI
1182,4.9,5,5,5,4.3,4.6,3.8,4.5,6,860007336,1,2.101823631,SI,INT,SI
1184,4,4,4.1,4,3.6,3.8,3.7,4,2,860015542,0,2.749643211,NO,INT,SI
1185,4.4,4,3.8,4,4.6,4.2,4,4,0,860013570,1,3.18208407,SI,INT,NO
1188,4.4,4.5,4.1,4.25,4.5,4.3,4.85,4.4,10,860066942,1,1.712888246,SI,INT,SI
1190,4,4,4,4,4,4,4,4,7,900200317,0,1.262379066,NO,GER,SI
1192,4.8,0,5,0,4.6,4.2,4.8,4.8,7,900248882,0,1.739716276,NO,INT,SI
1193,5,5,5,5,5,4,5,5,1,860512475,0,2.296045301,NO,GER,SI
1209,3.8,0,3.8,0,3.6,2.8,3.6,2.6,14,860002175,0,1.412105483,NO,GER,SI
1210,4.4,5,4.8,5,4.2,4.4,5,4.6,9,860007386,1,2.137608357,SI,GER,SI
1212,4,4,4,4,4,2.666666667,4,3.733333333,4,830023134,0,1.77985576,NO,INT,SI
1215,4,4,4,4,4,4,4,4,3,830068957,0,3.345589352,NO,INT,SI
1222,4,4,4,4,4,4,4,4,6,860007386,1,2.472024875,SI,GER,SI
1223,3.8,4,4,4,3.6,3.6,3.8,3.4,3,800242106,1,2.727506665,SI,INT,SI
1226,4.8,5,5,5,4.6,4.6,4.8,4.8,1,860007322,1,2.25351551,SI,INT,SI
1227,3.6,4,3.8,3,3.6,3.8,4.8,4.4,7,800130907,0,1.496488596,NO,GER,SI
1237,4.1,2,4.2,4,4,4,4,4.4,5,830095213,0,2.935909762,NO,INT,SI
1242,4,4,4,4,4,4,4,4,4,800242106,1,3.09704657,SI,INT,SI
1244,4,4,4.2,4,4.4,4,4,4,15,800056712,0,1.609237132,NO,GER,SI
1249,4,4,4,4,4,4,4,4,5,800242106,1,2.467543162,SI,INT,SI
1265,4.8,4.5,4.5,4.5,5,4.6,4.5,4.4,7,800195032,0,0.856762537,NO,INT,SI
1268,4,4,4,4,4,4,4,4,1,860007386,1,5.085141587,SI,GER,SI
1279,5,5,5,5,4.8,4.8,5,4,0,860001307,0,3.134713059,NO,GER,NO
1289,3.8,4,4.2,4,4.6,3.8,3.6,3.8,10,900156264,0,1.909437536,NO,GER,SI
1296,4,4,4,4,4,3.2,4,4,5,800242106,1,1.893871969,SI,INT,SI
1309,3.4,4,3.6,4,3.8,3.8,3.6,2.8,9,860001474,0,2.151407761,NO,GER,SI
1325,5,5,4.8,5,4.6,4.4,5,4.8,5,800242106,1,2.499410226,SI,INT,SI
1326,4.8,5,4.8,5,5,5,5,4.8,3,890900608,1,2.755456621,SI,INT,SI
1336,3.933333333,4,4.133333333,4,3.933333333,3.866666667,4.6,4,2,830053691,1,1.393156365,SI,GER,SI
1346,3.2,4,5,4,4,3.8,4,4,1,900001735,0,6.219878156,NO,GER,SI
1355,4,4,4,4,4.3,4,4,4.1,5,800141397,0,1.984638343,NO,INT,SI
1360,4,4,4,4,4,4,4,4,0,800242106,1,1.843250019,SI,INT,NO
1393,4.8,5,4.8,5,4.8,4.8,4.8,4.6,3,800251440,1,1.153394849,SI,INT,SI
1411,4,4,4,4,4,3.2,4,3.2,1,860037950,1,0.750032519,SI,GER,SI
1418,4.1,4.25,4.35,4.25,3.85,4.05,4.1,4.4,3,860037950,1,2.739141391,SI,GER,SI
1437,4.8,5,4.8,5,4.8,4.6,5,4.8,2,800242106,1,1.973197537,SI,INT,SI
1438,4.633333333,4.5,4.7,3.666666667,4.666666667,4.266666667,4.7,4.7,2,830095213,0,1.687969054,NO,INT,SI
1440,4.8,5,4.4,5,4.2,4.8,5,5,1,800116217,0,2.031025895,NO,INT,SI
1453,4,4,4.2,4,4.2,4,4.4,4.2,3,800226175,0,1.944870755,NO,INT,SI
1461,3.4,4,3.6,4,3,3,3.6,3.6,3,900410260,0,1.291929962,NO,INT,SI
1468,4,4,0,4,4,2.4,4,4,8,800256161,0,1.413030588,NO,INT,SI
1490,3.5,3.5,3.4,1.5,3,3.1,3.6,3.4,0,900089075,0,17.42767515,NO,INT,NO
1499,4.4,5,5,5,4.4,4.4,4.8,5,2,811011899,1,0,SI,INT,SI
1523,0,2,3.4,2,3.2,2.4,1.8,3.6,5,900685249,0,2.36498422,NO,INT,SI
1524,3.5,3.5,3.6,4,3.5,3.2,3.1,4.1,3,860067283,0,1.865696708,NO,INT,SI
1560,5,4,4.8,5,4.4,4.4,4.2,4.8,5,830054539,0,1.806356514,NO,INT,SI
1574,4.6,4,4.8,4,4.4,4.8,4.8,4.4,1,830053800,0,1.294539832,NO,INT,SI
1579,4.8,5,4.8,5,4.6,4.8,4.8,4.6,6,900522448,0,1.7760461,NO,INT,SI
1589,5,5,5,5,4.8,0,5,5,1,800256769,1,30.27480086,SI,INT,SI
1590,5,5,5,5,4.9,2,5,4.9,1,800256769,1,2.166212387,SI,INT,SI
1595,4.8,5,5,5,4.4,4.4,4.4,4.8,1,830053812,1,1.257606409,SI,GER,SI
1616,3.6,3,3.8,5,4,3.4,3.8,4,0,800256769,1,2.100457641,SI,INT,NO
1655,3.6,3,3.2,5,4,3.2,4,3,1,890100577,1,1.852780396,SI,INT,SI
1676,4,4,4.2,2,4,4,4,4,2,800242106,1,1.447374817,SI,INT,SI
1702,3.8,4,3.6,4,3.8,4,3.8,4.2,0,860007336,1,22.00781531,SI,GER,NO
1736,4,4,4,4,4,4,4,4,0,860043896,1,0,SI,INT,NO
1780,4,4,4,4,4,4,4,4,0,860005224,1,1.701703929,SI,INT,NO
1350,3.666666667,3.666666667,3.666666667,2.666666667,1,3.666666667,3.666666667,3.933333333,0,830069402,0,3.340686808,NO,GER,NO
1397,4.4,4,4.2,4,5,4.8,4.8,5,1,900239671,0,2.358062279,NO,INT,SI
1343,4.2,4,4.4,0,4,5,4.4,4.2,5,899999094,0,2.575765967,NO,INT,SI
1565,5,5,5,5,5,5,5,5,5,900529563,0,1.521276595,NO,INT,SI
1146,3.8,3,3.8,4,4,3.8,3.8,4,1,860037950,1,2.890434138,SI,GER,SI
1102,4,4,4,4,4,4,4,4,0,860007386,1,2.480402239,SI,GER,NO
919,4,4,4,4,4,4,4,4,9,860007386,1,3.457411552,SI,GER,SI
1206,2.6,1,2,1,1.4,1.4,2,2.6,2,900079790,0,2.011174925,NO,GER,SI
1094,4,4,3.8,4,4.2,4.2,4,4,5,860026058,1,2.425493643,SI,GER,SI
1157,4,4,4,4,4,4,4,4,4,79143254,0,4.893334178,NO,GER,SI
1044,4,4,4,4,4,4,4,4,7,860043896,1,2.005366021,SI,INT,SI
1233,4,4,4,4,4,4,4,4,0,2913770,1,1.324035406,SI,GER,NO
1225,3.9,4,4,4,3.9,3.8,3.9,3.7,6,800242106,1,1.975445378,SI,INT,SI
1238,4,4,4,4,4,4,4,4,4,800141397,0,2.478106211,NO,INT,SI
1208,4,4,4,4,4,4,4,4,5,860043896,1,2.105262962,SI,INT,SI
1034,4,4,4,4,4,4,4,4,15,860528329,0,3.037621039,NO,INT,SI
1240,4,4,4,4,4,4,4,4,0,2913770,1,2.444429596,SI,INT,NO
1221,4,4,4,4,4,4,4,4,11,860007386,1,2.214319384,SI,GER,SI
1380,4,4,4,4,4,4,4,4,0,860007386,1,0,SI,GER,NO
1214,4,4,4,4,4,4,4,4,0,800242106,1,2.310095702,SI,INT,NO
1217,4.2,4,4,4,4.4,0,3.4,2.8,0,806009227,0,0,NO,ASE,NO
1378,5,5,5,5,5,5,5,5,1,800242106,1,1.814332596,SI,INT,SI
1487,3.8,3.8,3.6,4,0,3,5,3.8,1,811011899,1,1.206691632,SI,INT,SI
